"","t.id","p.id","group.id","H1","H2","Creat1","Creat2","Sf1","Sf2","Age","HSelf","Hum.raw","Creat.raw","Safety.raw"
"1","210:1","210:1",210,NA,NA,NA,NA,NA,NA,34,9.33333333333333,NA,NA,NA
"2","210:1","210:2",210,6.5,8,8,8,2,6,44,8.33333333333333,7,8,4
"3","210:1","210:3",210,4.5,7,10,10,1,1,45,8,5.33333333333333,10,1
"4","210:1","210:4",210,7,6,10,10,3,7,57,10,6.66666666666667,10,5
"5","210:2","210:1",210,7,6,2,2,2,4,34,9.33333333333333,6.66666666666667,2,3
"6","210:2","210:2",210,NA,NA,NA,NA,NA,NA,44,8.33333333333333,NA,NA,NA
"7","210:2","210:3",210,2.5,0,0,0,0,0,45,8,1.66666666666667,0,0
"8","210:2","210:4",210,8,6,7,7,3,7,57,10,7.33333333333333,7,5
"9","210:3","210:1",210,9.5,10,2,2,10,10,34,9.33333333333333,9.66666666666667,2,10
"10","210:3","210:2",210,0.5,7,5,5,7,8,44,8.33333333333333,2.66666666666667,5,7.5
"11","210:3","210:3",210,NA,NA,NA,NA,NA,NA,45,8,NA,NA,NA
"12","210:3","210:4",210,6,7,5,5,5,7,57,10,6.33333333333333,5,6
"13","210:4","210:1",210,7.5,10,0,0,10,10,34,9.33333333333333,8.33333333333333,0,10
"14","210:4","210:2",210,7,7,5.5,5,9,9,44,8.33333333333333,7,5.33333333333333,9
"15","210:4","210:3",210,6,6,1.5,1,10,10,45,8,6,1.33333333333333,10
"16","210:4","210:4",210,NA,NA,NA,NA,NA,NA,57,10,NA,NA,NA
"17","230:1","230:1",230,NA,NA,NA,NA,NA,NA,40,8.66666666666667,NA,NA,NA
"18","230:1","230:2",230,8,10,10,10,10,10,65,8,8.66666666666667,10,10
"19","230:1","230:3",230,4.5,9,8,8,3,3,64,10,6,8,3
"20","230:1","230:4",230,9,8,7,7,10,10,NA,7,8.66666666666667,7,10
"21","230:1","230:5",230,8.5,10,10,10,0,0,NA,9.66666666666667,9,10,0
"22","230:2","230:1",230,4.5,6,6,6,8,9,40,8.66666666666667,5,6,8.5
