"group.id","Actor","Partner","Hum1","Hum2","Hum3","Contrib1","Contrib2","Cre1","Cre2","Cre3","NonTalk","Shy","Safe1","Safe2","Safe3"
210,2,1,5,8,8,9,9,8,8,8,10,1,2,6,10
210,3,1,5,7,4,10,10,10,10,10,4,6,1,1,8
210,4,1,7,6,7,10,10,10,10,10,2,3,3,7,10
210,1,2,7,6,7,10,10,2,2,2,4,2,2,4,9
210,3,2,0,0,5,4,4,0,0,0,3,2,0,0,0
210,4,2,8,6,8,8,8,7,7,7,3,3,3,7,10
210,1,3,9,10,10,10,10,2,2,2,6,0,10,10,10
210,2,3,0,7,1,7,7,5,5,5,2,8,7,8,10
210,4,3,7,7,5,8,8,5,5,5,7,7,5,7,10
210,1,4,5,10,10,10,10,0,0,0,9,7,10,10,10
210,2,4,7,7,7,8,8,5,5,6,7,3,9,9,10
210,3,4,2,6,10,10,10,3,1,0,10,10,10,10,10
230,2,1,8,10,8,10,10,10,10,10,1,9,10,10,10
230,3,1,0,9,9,7,7,8,8,8,6,1,3,3,10
230,4,1,9,8,9,9,9,7,7,7,4,2,10,10,10
230,5,1,9,10,8,9,9,10,10,10,0,0,0,0,10
230,1,2,4,6,5,9,9,6,6,6,2,0,8,9,10
230,3,2,0,1,2,3,3,2,2,3,4,0,3,3,8
230,4,2,10,8,10,9,9,7.21513002364066,7.24113475177305,7.21749408983452,5,0,9,10,10
230,5,2,1,2,1,9,9,1,1,1,1,0,1,1,1
230,1,3,10,2,10,6,6,2,2,2,0,0,8,9,10
230,2,3,7,7,7,4,4,3,3,3,0,9,6,6,4
230,4,3,10,7.85545023696682,10,9,9,4,4,4,2,0,10,10,10
230,5,3,9,8,8,8,8,3,3,3,0,0,2,3,10
230,1,4,2,5,2,8,8,7,7,7,4,2,6,6,10
230,2,4,10,10,10,10,10,10,10,10,4,7,10,10,10
230,3,4,2,3,3,9,9,9,9,9,10,0,8,8,9
230,5,4,8,9,8,9,9,9,9,9,1,0,3,3,2
230,1,5,9,9,9,8,8,6,6,6,0,0,9,10,10
230,2,5,0,0,0,0,0,0,0,0,0,5,0,0,10
230,3,5,5,5,9,3,3,2,1,2,3,2,9,9,9
230,4,5,10,7.85545023696682,10,9,9,4,4,4,9,4,9,9,10
260,2,1,8,8,6,9,9,8,8,8,2,8,8,7,3
260,3,1,10,10,10,10,10,10,10,10,0,8,10,10,0
260,4,1,10,10,10,10,10,10,10,10,1,0,10,10,9
260,1,2,5,5,8,6,7,3,3,3,0,0,2,2,7
260,3,2,10,10,10,9,9,8,8,7,0,10,10,10,0
260,4,2,8,9,10,9,9,6,5,5,0,0,10,8,9
260,1,3,10,10,10,10,10,6,6,9,0,3,9,9,10
260,2,3,8,8,8,8,8,8,8,8,2,8,8,8,7
260,4,3,10,9,10,9,10,8,6,7,0,0,9,9,10
260,1,4,10,10,10,10,10,10,10,10,10,6,10,10,10
260,2,4,8,8,8,7,8,9,8,8,2,8,8,8,6
260,3,4,10,10,10,9,9,8,7,7,0,10,10,10,0
280,2,1,6,4,7,5,8,6,3,3,6,4,9,9,10
280,3,1,8,9,9,8,8,7,7,7,0,7,9,9,10
280,4,1,9,10,8,6,6,6,6,4,2,4,8,10,8
280,1,2,2,3,3,10,10,9,9,9,5,2,7,7,1
280,3,2,9,8,8,10,10,9,8,9,0,3,10,10,1
280,4,2,7,9,8,9,8,9,10,9,1,1,10,9,4
280,1,3,5,8,8,9,9,9,9,9,5,2,9,9,8
280,2,3,9,9,9,9,9,9,9,9,2,1,9,8,9
280,4,3,7,9,7,10,10,9,9,10,0,2,10,9,4
280,1,4,9,8,9,9,9,9,9,9,5,2,9,9,8
280,2,4,9,9,9,8,8,5,5,5,3,9,9,9,10
280,3,4,8,7,9,10,10,8,10,8,2,6,10,10,10
291,2,1,7,7,8,8,7,5,5,6,4,0,10,10,10
291,3,1,7,4,7,7,7,7,8,5,7,4,6,5,7
291,4,1,7,9,4,7,7,5,5,7,4,0,5,9,3
291,1,2,9,9,9,10,10,8,8,8,3,4,9,9,10
291,3,2,5,8,7,10,9,8,8,7,3,2,8,8,9
291,4,2,7,5,6,8,8,7,8,9,4,0,10,10,8
291,1,3,8,8,8,9,9,7,7,7,2,1,10,9,10
291,2,3,4,7,6,5,7,0,6,0,1,0,10,10,10
291,4,3,4,4,4,6,6,4,4,4,6,2,10,10,0
291,1,4,8,9,9,10,10,8,8,8,3,0,9,9,10
291,2,4,7,9,8,9,9,7,7,8,3,2,10,10,0
291,3,4,7,6,8,9,9,8,8,7,4,5,10,9,7
292,2,1,3,6,7,10,9,7,8,6,3,2,8,9,8
292,3,1,2,7,6,8,9,6,7,5,1,2,7,6,3
292,4,1,9,8,6,10,10,8,9,9,1,0,8,9,10
292,1,2,10,10,10,10,10,10,9,9,2,2,10,10,10
292,3,2,9,6,9,6,6,5,4,4,4,4,8,8,8
292,4,2,9,10,9,7,8,9,7,7,3,2,6,8,10
292,1,3,2,3,3,6,6,5,5,5,1,6,10,10,10
292,2,3,2,2,1,3,3,1,1,1,5,3,7,7,10
292,4,3,6,6,6,7,7,6,6,4,2,2,5,6,10
292,1,4,10,10,10,10,10,10,9,10,0,2,10,10,10
292,2,4,3,6,3,8,7,5,3,8,0,6,6,8,8
292,3,4,10,7,9,8,8,6,7,7,1,1,8,8,9
304,2,1,10,10,10,8,9,8,8,8,3,3,10,10,0
304,3,1,10,10,10,10,10,9,9,9,8,5,10,10,10
304,4,1,10,10,10,10,10,10,10,10,7,1,10,10,10
304,1,2,10,10,10,9,9,8,8,7,0,0,10,10,10
304,3,2,10,9,9,10,10,7,6,6,5,2,10,10,10
304,4,2,10,10,10,10,10,10,10,10,5,1,10,10,10
304,1,3,10,10,10,9,8,7,7,7,2,1,10,10,10
304,2,3,10,10,10,8,6,6,7,7,4,6,10,10,0
304,4,3,9,10,10,10,10,10,10,10,7,1,10,10,10
304,1,4,10,10,10,9,9,9,9,8,2,1,10,10,10
304,2,4,10,10,10,9,7,7,7,7,8,7,10,10,0
304,3,4,8,9,10,9,9,6,6,6,9,9,10,10,10
305,2,1,10,10,10,8,8,7,8,8,0,0,9,10,9
305,3,1,10,10,9,5,3,8,8,8,0,0,9,8,8
305,4,1,10,10,10,7,7,7,7,7,0,0,10,10,10
305,1,2,10,9,9,10,10,8,8,8,2,7,10,10,10
305,3,2,7,9,10,10,10,10,10,10,3,2,9,9,6
305,4,2,10,10,10,10,10,9,10,9,2,3,10,10,10
305,1,3,9,10,10,10,10,8,8,9,3,7,10,10,10
305,2,3,8,10,9,9,9,8,8,8,2,2,9,9,8
305,4,3,10,10,10,10,10,7,8,8,3,6,10,10,10
305,1,4,9,10,10,10,10,9,9,10,2,0,10,9,10
305,2,4,9,10,9,10,10,9,10,9,1,0,8,9,9
305,3,4,8,10,10,10,10,10,10,10,2,1,8,9,10
334,2,1,10,10,9,9,9,8,8,7,5,6,10,10,10
334,3,1,4,5,7,8,8,2,2,2,3.12529550827423,8,5,5,5
334,4,1,7,6,10,8,7,7,7,7,7,8,10,10,10
334,1,2,5,8,6,10,10,9,7,7,0,0,8,5,8
334,3,2,6,7,8,8,8,7,7,7,2,0,5,5,5
334,4,2,4,7,9,5,7,6,6,6,2,1,7,7,10
334,1,3,5,5,5,10,10,9,7,7,3,0,2,2,6
334,2,3,4,6,5,9,9,10,10,10,0,0,8,8,4
334,4,3,4,4,8,6,8,3,3,3,5,5,7,7,10
334,1,4,8,9,9,10,10,10,10,10,2,0,8,8,9
334,2,4,10,10,10,10,10,10,10,10,5,0,7,10,10
334,3,4,6,6,6,8,8,6,6,6,3,3,5,5,5
389,2,1,8,8,7,8,8,7,8,8,6,5,7,8,9
389,3,1,6,7,7,8,8,8,8,5,5,4,8,8,10
389,4,1,5,5,5,10,10,5,5,5,2,3,8,8,7
389,1,2,8,9,7,10,10,5,5,5,2,1,5,5,10
389,3,2,6,7,6,8,8,7,7,6,1,1,6,6,10
389,4,2,5,5,5,10,10,5,5,5,2,9,3,6,10
389,1,3,9,10,10,10,10,5,5,5,2,3,5,5,10
389,2,3,7,8,8,8,8,7,7,7,4,5,8,9,9
389,4,3,5,5,8,10,10,5,5,5,1,9,3,7,10
389,1,4,9,10,8,10,10,5,7,7,1,1,5,5,10
389,2,4,8,9,8,9,9,8,8,8,3,4,7,9,9
389,3,4,7,9,8,10,9,7,8,7,1,1,8,8,10
407,2,1,10,10,10,10,10,9,5,6,8,0,5,8,3
407,3,1,8,10,8,10,10,10,10,9,0,0,9,9,10
407,4,1,6,9,8,8,8,6,5,7,4,6,7,8,7
407,5,1,9,9,7,8,8,7,7,7,1,1,6,8,8
407,1,2,7,5,8,6,6,5,4,3,6,3,6,6,8
407,3,2,5,6,9,7,7,4,4,4,5,5,10,10,10
407,4,2,7,7,8,8,8,5,4,5,5,5,6,8,9
407,5,2,7,5,5,7,7,5,4,3,8,2,8,8,8
407,1,3,6,8,7,7,7,6,7,7,5,2,9,9,10
407,2,3,10,10,10,10,10,9,10,9,7,4,7,8,9
407,4,3,6,8,8,8,8,8,9,9,4,3,8,8,9
407,5,3,1,3,1,7,7,5,7,6,4,8,3,1,9
407,1,4,7,6,8,8,8,6,5,4,4,3,8,8,8
407,2,4,10,10,10,10,10,9,10,10,7,1,4,6,8
407,3,4,4,4,4,10,10,9,7,4,2,2,10,10,10
407,5,4,8,8,8,9,9,7,7,7,3,2,8,8,10
407,1,5,4,8,6,6,5,3,3,2,6,2,7,7,8
407,2,5,6,7,2,10,10,5,3,4,8,1,6,2,8
407,3,5,5,9,5,7,7,2,2,6,0,0,1,1,1
407,4,5,7,9,8,8,8,8,7,8,5,4,7,8,9
507,2,1,8,9,9,8,8,7,9,9,5,1,8,10,9
507,3,1,5,6,6,7,8,8,7,7,5,5,8,8,9
507,4,1,7,7,7,7,7,7,7,7,2,3,8,8,8
507,1,2,10,8,8,9,8,8,8,9,2,0,10,10,8
507,3,2,8,8,8,6,6,5,5,5,2,3,8,8,9
507,4,2,7,7,8,9,9,5,5,8,4,3,10,10,10
507,1,3,10,10,7,10,10,10,10,10,3,0,10,10,10
507,2,3,6,7,6,9,9,8,7,7,1,9,9,8,9
507,4,3,3,3,2,6,7,7,7,5,1,1,7,7,4
507,1,4,10,9,10,10,10,8,9,9,6,6,10,10,7
507,2,4,7,9,7,9,9,9,9,9,4,4,9,10,9
