DyadN,Group,dyad,partnum,Actor,Partner,Sociable_AB,Talkative_AB,Attractive_AB,Dressed_AB,Extro_AB,ActorN,PartnerN,Sociable_BA,Talkative_BA,Attractive_BA,Dressed_BA,Extro_BA
11,1,1,1,1,2,3,6,1,2,2.5,11,12,4,4,3,3,4
11,1,1,2,2,1,4,4,3,3,4,12,11,3,6,1,2,2.5
12,1,2,1,1,3,2,6,2,3,2,11,13,3,4,3,2,3.5
12,1,2,2,3,1,3,4,3,2,3.5,13,11,2,6,2,3,2
13,1,3,1,1,4,3,5,3,4,3,11,14,6,4,3,6,5
13,1,3,2,4,1,6,4,3,6,5,14,11,3,5,3,4,3
14,1,4,1,2,3,2,4,3,3,3,12,13,2,4,2,2,3
14,1,4,2,3,2,2,4,2,2,3,13,12,2,4,3,3,3
15,1,5,1,2,4,4,4,3,4,4,12,14,1,6,1,1,1.5
15,1,5,2,4,2,1,6,1,1,1.5,14,12,4,4,3,4,4
16,1,6,1,3,4,3,4,3,3,3.5,13,14,1,5,2,3,2
16,1,6,2,4,3,1,5,2,3,2,14,13,3,4,3,3,3.5
21,2,1,1,1,2,2,7,2,3,1.5,21,22,2,5,3,3,2.5
21,2,1,2,2,1,2,5,3,3,2.5,22,21,2,7,2,3,1.5
22,2,2,1,1,3,2,6,2,3,2,21,23,2,5,3,5,2.5
22,2,2,2,3,1,2,5,3,5,2.5,23,21,2,6,2,3,2
23,2,3,1,1,4,3,6,2,2,2.5,21,24,2,4,4,4,3
23,2,3,2,4,1,2,4,4,4,3,24,21,3,6,2,2,2.5
24,2,4,1,2,3,2,5,2,3,2.5,22,23,3,4,3,3,3.5
24,2,4,2,3,2,3,4,3,3,3.5,23,22,2,5,2,3,2.5
25,2,5,1,2,4,2,5,2,2,2.5,22,24,2,5,3,2,2.5
25,2,5,2,4,2,2,5,3,2,2.5,24,22,2,5,2,2,2.5
26,2,6,1,3,4,3,6,2,2,2.5,23,24,2,5,2,4,2.5
