"","Dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SquaresMean.di"
"1","210_1",-0.608,0.253,1.448,39.488,0.588
"2","210_2",1.555,1.149,0.965,51.92,1.553
"3","210_3",-0.946,-1.402,0.483,21.759,2.023
"4","210_4",-0.946,-1.402,0.069,21.816,1.966
"5","210_5",1.555,1.149,1.379,51.678,1.796
"6","210_6",-0.608,0.253,0.896,39.811,0.265
"7","230_1",1.354,1.343,0.055,54.985,1.803
"8","230_2",-0.678,-0.207,1.694,33.691,0.76
"9","230_3",-2.927,-3.089,1.025,8.639,9.805
"10","230_4",2.251,1.953,2.663,62.644,5.589
"11","230_5",-0.268,-0.161,1.56,34.341,0.634
"12","230_6",1.797,3.437,1.402,89.95,12.307
"13","230_7",-2.882,-4.619,2.907,0,23.449
"14","230_8",0.723,-1.323,1.457,22.027,2.282
"15","230_9",0.223,1.691,1.324,59.835,3.297
"16","230_10",0.408,0.975,1.08,49.377,1.242
"17","260_1",-1.442,-0.873,1.792,26.231,1.566
"18","260_2",-0.023,0.299,1.172,40.252,0.433
"19","260_3",1.465,0.575,0.62,44.089,0.426
"20","260_4",1.465,0.575,1.172,43.842,0.673
"21","260_5",-0.023,0.299,0.62,40.499,0.185
"22","260_6",-1.442,-0.873,0,27.034,0.763
"23","280_1",-0.045,-1.907,0.345,17.32,3.668
"24","280_2",-0.18,0.712,0.207,46.027,0.518
"25","280_3",0.225,1.195,0.552,52.743,1.504
"26","280_4",0.225,1.195,0.138,52.815,1.433
"27","280_5",-0.18,0.712,0.207,46.027,0.518
"28","280_6",-0.045,-1.907,0.345,17.32,3.668
"29","291_1",-0.315,-0.23,0.276,34.12,0.072
"30","291_2",0.834,-0.092,1.517,35.195,0.584
"31","291_3",-0.518,0.322,1.792,40.085,0.907
"32","291_4",-0.518,0.322,0.689,40.77,0.222
"33","291_5",0.834,-0.092,0.965,35.537,0.241
"34","291_6",-0.315,-0.23,0.827,33.968,0.224
"35","292_1",0.946,0.942,0.345,49.179,0.917
"36","292_2",-0.473,-1.126,1.172,24.126,1.611
"37","292_3",-0.473,0.184,1.517,38.569,0.609
"38","292_4",-0.473,0.184,0.827,38.973,0.205
"39","292_5",-0.473,-1.126,1.172,24.126,1.611
"40","292_6",0.946,0.942,0.345,49.179,0.917
"41","304_1",-0.113,-0.161,0.207,34.939,0.037
"42","304_2",0.225,0.184,0.414,39.102,0.077
"43","304_3",-0.113,-0.023,0.207,36.588,0.011
"44","304_4",-0.113,-0.023,0.207,36.588,0.011
"45","304_5",0.225,0.184,0,39.144,0.034
"46","304_6",-0.113,-0.161,0.207,34.939,0.037
"47","305_1",-0.225,0.069,0.345,37.69,0.034
"48","305_2",0.248,0.138,0,38.571,0.019
"49","305_3",-0.023,-0.207,0.345,34.379,0.072
"50","305_4",-0.023,-0.207,0.069,34.407,0.044
"51","305_5",0.248,0.138,0.414,38.529,0.062
"52","305_6",-0.225,0.069,0.069,37.719,0.006
"53","334_1",-0.991,-0.023,1.586,35.97,0.629
"54","334_2",-0.653,-0.161,1.034,34.682,0.293
"55","334_3",1.645,0.184,0.552,39.068,0.11
"56","334_4",1.645,0.184,2.344,37.771,1.407
"57","334_5",-0.653,-0.161,0.758,34.806,0.17
"58","334_6",-0.991,-0.023,1.31,36.17,0.429
"59","389_1",0,0.138,0.414,38.529,0.062
"60","389_2",0,0.138,0.689,38.452,0.138
"61","389_3",0,-0.276,0.276,33.585,0.095
"62","389_4",0,-0.276,0.276,33.585,0.095
"63","389_5",0,0.138,0.138,38.567,0.024
"64","389_6",0,0.138,0.414,38.529,0.062
"65","407_1",-0.225,-0.483,0,31.249,0.233
"66","407_2",1.532,0.942,0.055,49.208,0.889
"67","407_3",-1.622,-1.08,1.048,24.652,1.441
"68","407_4",0.315,0.62,0.993,44.552,0.631
"69","407_5",0.18,1.31,1.599,53.863,2.355
"70","407_6",0.541,0.529,1.324,43.138,0.717
"71","407_7",-0.496,-1.356,2.923,20.112,3.975
"72","407_8",-0.406,-1.218,3.309,20.831,4.221
"73","407_9",-1.307,-1.034,4.854,19.498,6.959
"74","407_10",1.487,1.77,0.938,61.28,3.351
"75","507_1",0.045,-1.08,1.999,23.927,2.166
"76","507_2",0.518,0.437,2.275,41.077,1.485
"77","507_3",-0.563,0.643,0.276,45.088,0.433
"78","507_4",-0.563,0.643,1.517,44.532,0.989
"79","507_5",0.518,0.437,0.483,42.313,0.249
"80","507_6",0.045,-1.08,0.758,24.782,1.31
"81","555_1",-0.045,-0.092,0.552,35.694,0.084
"82","555_2",0.023,0.873,0.965,48.013,0.995
"83","555_3",0.023,-0.781,0.414,27.956,0.653
"84","555_4",0.023,-0.781,1.517,27.423,1.186
"85","555_5",0.023,0.873,0.965,48.013,0.995
"86","555_6",-0.045,-0.092,0.552,35.694,0.084
"87","690_1",0.045,0.23,0.138,39.717,0.058
"88","690_2",-0.428,0.23,0.552,39.645,0.129
"89","690_3",0.383,-0.46,0.414,31.464,0.254
"90","690_4",0.383,-0.46,0.138,31.502,0.216
"91","690_5",-0.428,0.23,0.276,39.703,0.072
"92","690_6",0.045,0.23,0.689,39.603,0.172
"93","691_1",0.518,-0.184,0.938,34.459,0.254
"94","691_2",-0.248,-1.195,2.813,21.814,3.406
"95","691_3",0.428,1.149,1.765,51.375,2.099
"96","691_4",-0.699,0.23,0.11,39.718,0.056
"97","691_5",-0.383,1.379,0.386,55.488,1.938
"98","691_6",0.158,0,0.276,36.859,0.019
"99","691_7",-0.293,-1.195,0.827,23.621,1.599
"100","691_8",-0.473,-1.149,2.868,22.186,3.377
"101","691_9",1.104,0.965,0.441,49.483,0.98
"102","691_10",-0.113,0,1.379,36.402,0.475
"103","705_1",0.18,0.023,0.758,37.013,0.144
"104","705_2",0.045,0.092,0,38.003,0.008
"105","705_3",-0.225,-0.115,0.758,35.352,0.157
"106","705_4",-0.225,-0.115,0.207,35.485,0.024
"107","705_5",0.045,0.092,0.965,37.77,0.241
"108","705_6",0.18,0.023,0.207,37.147,0.011
"109","708_1",0.721,-0.115,1.724,34.753,0.756
"110","708_2",-0.09,0.023,0.345,37.128,0.03
"111","708_3",-0.631,0.092,1.379,37.527,0.484
"112","708_4",-0.631,0.092,1.241,37.618,0.393
"113","708_5",-0.09,0.023,0.483,37.099,0.059
"114","708_6",0.721,-0.115,0.896,35.294,0.214
"115","709_1",0.023,0.391,0.62,41.679,0.249
"116","709_2",-0.653,-0.85,1.034,27.006,0.99
"117","709_3",0.631,0.46,0.414,42.628,0.254
"118","709_4",0.631,0.46,0.276,42.652,0.23
"119","709_5",-0.653,-0.85,0.896,27.073,0.924
"120","709_6",0.023,0.391,1.31,41.346,0.582
"121","713_1",0.158,-0.253,0.758,33.728,0.208
"122","713_2",-0.113,0.092,0.689,37.884,0.127
"123","713_3",-0.045,0.161,0.069,38.856,0.027
"124","713_4",-0.045,0.161,0.207,38.847,0.037
"125","713_5",-0.113,0.092,0.552,37.926,0.084
"126","713_6",0.158,-0.253,0.483,33.813,0.122
"127","714_1",-0.09,0.46,1.103,42.367,0.515
"128","714_2",-0.158,-1.195,2.068,22.723,2.497
"129","714_3",0.248,0.735,0.965,46.117,0.774
"130","714_4",0.248,0.735,0.138,46.345,0.546
"131","714_5",-0.158,-1.195,1.241,23.407,1.813
"132","714_6",-0.09,0.46,2.206,41.454,1.428
"133","786_1",1.803,0.414,0.138,42.068,0.176
"134","786_2",-0.766,-0.62,1.034,29.459,0.652
"135","786_3",-1.037,0.207,0.896,39.232,0.244
"136","786_4",-1.037,0.207,0.069,39.431,0.044
"137","786_5",-0.766,-0.62,0.207,29.716,0.396
"138","786_6",1.803,0.414,1.103,41.769,0.475
"139","799_1",-0.113,-0.414,1.103,31.721,0.475
"140","799_2",0.361,0.069,2.275,36.426,1.299
"141","799_3",-0.248,0.345,1.172,40.84,0.462
"142","799_4",-0.248,0.345,1.586,40.555,0.747
"143","799_5",0.361,0.069,0.483,37.661,0.063
"144","799_6",-0.113,-0.414,0.689,31.906,0.29
"145","801_1",0.135,0.115,0.938,38.067,0.233
"146","801_2",0.451,0.529,0.552,43.5,0.355
"147","801_3",-0.586,-0.85,0.331,27.246,0.75
"148","801_4",0,0.207,0.055,39.432,0.044
