"","Dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SquaresMean.di"
"1","210_1",-0.562,0.229,1.312,32.453,0.483
"2","210_2",1.438,1.042,0.875,42.671,1.276
"3","210_3",-0.875,-1.271,0.438,17.883,1.663
"4","210_4",-0.875,-1.271,0.062,17.929,1.616
"5","210_5",1.438,1.042,1.25,42.472,1.476
"6","210_6",-0.562,0.229,0.812,32.719,0.218
"7","230_1",1.252,1.217,0.05,45.19,1.482
"8","230_2",-0.627,-0.188,1.536,27.689,0.625
"9","230_3",-2.707,-2.8,0.929,7.1,8.058
"10","230_4",2.082,1.771,2.414,51.484,4.593
"11","230_5",-0.248,-0.146,1.414,28.223,0.521
"12","230_6",1.661,3.116,1.271,73.926,10.115
"13","230_7",-2.665,-4.188,2.636,0,19.272
"14","230_8",0.668,-1.2,1.321,18.103,1.875
"15","230_9",0.207,1.533,1.2,49.176,2.71
"16","230_10",0.377,0.884,0.979,40.581,1.021
"17","260_1",-1.333,-0.792,1.625,21.558,1.287
"18","260_2",-0.021,0.271,1.062,33.081,0.356
"19","260_3",1.354,0.521,0.562,36.235,0.35
"20","260_4",1.354,0.521,1.062,36.032,0.553
"21","260_5",-0.021,0.271,0.562,33.284,0.152
"22","260_6",-1.333,-0.792,0,22.218,0.627
"23","280_1",-0.042,-1.729,0.312,14.235,3.014
"24","280_2",-0.167,0.646,0.188,37.827,0.426
"25","280_3",0.208,1.083,0.5,43.347,1.236
"26","280_4",0.208,1.083,0.125,43.406,1.178
"27","280_5",-0.167,0.646,0.188,37.827,0.426
"28","280_6",-0.042,-1.729,0.312,14.235,3.014
"29","291_1",-0.292,-0.208,0.25,28.042,0.059
"30","291_2",0.771,-0.083,1.375,28.925,0.48
"31","291_3",-0.479,0.292,1.625,32.944,0.745
"32","291_4",-0.479,0.292,0.625,33.507,0.183
"33","291_5",0.771,-0.083,0.875,29.206,0.198
"34","291_6",-0.292,-0.208,0.75,27.917,0.184
"35","292_1",0.875,0.854,0.312,40.418,0.754
"36","292_2",-0.438,-1.021,1.062,19.828,1.324
"37","292_3",-0.438,0.167,1.375,31.698,0.5
"38","292_4",-0.438,0.167,0.75,32.03,0.168
"39","292_5",-0.438,-1.021,1.062,19.828,1.324
"40","292_6",0.875,0.854,0.312,40.418,0.754
"41","304_1",-0.104,-0.146,0.188,28.715,0.03
"42","304_2",0.208,0.167,0.375,32.136,0.063
"43","304_3",-0.104,-0.021,0.188,30.07,0.009
"44","304_4",-0.104,-0.021,0.188,30.07,0.009
"45","304_5",0.208,0.167,0,32.171,0.028
"46","304_6",-0.104,-0.146,0.188,28.715,0.03
"47","305_1",-0.208,0.062,0.312,30.976,0.028
"48","305_2",0.229,0.125,0,31.7,0.016
"49","305_3",-0.021,-0.188,0.312,28.254,0.06
"50","305_4",-0.021,-0.188,0.062,28.278,0.036
"51","305_5",0.229,0.125,0.375,31.665,0.051
"52","305_6",-0.208,0.062,0.062,30.999,0.005
"53","334_1",-0.917,-0.021,1.438,29.562,0.517
"54","334_2",-0.604,-0.146,0.938,28.504,0.241
"55","334_3",1.521,0.167,0.5,32.108,0.09
"56","334_4",1.521,0.167,2.125,31.042,1.157
"57","334_5",-0.604,-0.146,0.688,28.605,0.139
"58","334_6",-0.917,-0.021,1.188,29.727,0.353
"59","389_1",0,0.125,0.375,31.665,0.051
"60","389_2",0,0.125,0.625,31.602,0.113
"61","389_3",0,-0.25,0.25,27.602,0.078
"62","389_4",0,-0.25,0.25,27.602,0.078
"63","389_5",0,0.125,0.125,31.696,0.02
"64","389_6",0,0.125,0.375,31.665,0.051
"65","407_1",-0.208,-0.438,0,25.682,0.191
"66","407_2",1.417,0.854,0.05,40.442,0.73
"67","407_3",-1.5,-0.979,0.95,20.26,1.184
"68","407_4",0.292,0.562,0.9,36.615,0.519
"69","407_5",0.167,1.187,1.45,44.268,1.936
"70","407_6",0.5,0.479,1.2,35.454,0.59
"71","407_7",-0.458,-1.229,2.65,16.529,3.266
"72","407_8",-0.375,-1.104,3,17.12,3.469
"73","407_9",-1.208,-0.938,4.4,16.025,5.719
"74","407_10",1.375,1.604,0.85,50.364,2.754
"75","507_1",0.042,-0.979,1.812,19.664,1.78
"76","507_2",0.479,0.396,2.062,33.76,1.22
"77","507_3",-0.521,0.583,0.25,37.055,0.356
"78","507_4",-0.521,0.583,1.375,36.598,0.813
"79","507_5",0.479,0.396,0.438,34.775,0.205
"80","507_6",0.042,-0.979,0.688,20.367,1.077
"81","555_1",-0.042,-0.083,0.5,29.335,0.069
"82","555_2",0.021,0.792,0.875,39.46,0.818
"83","555_3",0.021,-0.708,0.375,22.975,0.537
"84","555_4",0.021,-0.708,1.375,22.538,0.974
"85","555_5",0.021,0.792,0.875,39.46,0.818
"86","555_6",-0.042,-0.083,0.5,29.335,0.069
"87","690_1",0.042,0.208,0.125,32.641,0.047
"88","690_2",-0.396,0.208,0.5,32.583,0.106
"89","690_3",0.354,-0.417,0.375,25.859,0.209
"90","690_4",0.354,-0.417,0.125,25.89,0.178
"91","690_5",-0.396,0.208,0.25,32.63,0.059
"92","690_6",0.042,0.208,0.625,32.548,0.141
"93","691_1",0.479,-0.167,0.85,28.32,0.208
"94","691_2",-0.229,-1.083,2.55,17.928,2.799
"95","691_3",0.396,1.042,1.6,42.222,1.725
"96","691_4",-0.646,0.208,0.1,32.643,0.046
"97","691_5",-0.354,1.25,0.35,45.603,1.593
"98","691_6",0.146,0,0.25,30.292,0.016
"99","691_7",-0.271,-1.083,0.75,19.413,1.314
"100","691_8",-0.438,-1.042,2.6,18.234,2.775
"101","691_9",1.021,0.875,0.4,40.668,0.806
"102","691_10",-0.104,0,1.25,29.917,0.391
"103","705_1",0.167,0.021,0.688,30.42,0.119
"104","705_2",0.042,0.083,0,31.233,0.007
"105","705_3",-0.208,-0.104,0.688,29.054,0.129
"106","705_4",-0.208,-0.104,0.188,29.163,0.02
"107","705_5",0.042,0.083,0.875,31.041,0.198
"108","705_6",0.167,0.021,0.188,30.529,0.009
"109","708_1",0.667,-0.104,1.562,28.562,0.621
"110","708_2",-0.083,0.021,0.312,30.513,0.025
"111","708_3",-0.583,0.083,1.25,30.842,0.398
"112","708_4",-0.583,0.083,1.125,30.916,0.323
"113","708_5",-0.083,0.021,0.438,30.49,0.048
"114","708_6",0.667,-0.104,0.812,29.007,0.176
"115","709_1",0.021,0.354,0.562,34.254,0.205
"116","709_2",-0.604,-0.771,0.938,22.195,0.814
"117","709_3",0.583,0.417,0.375,35.034,0.209
"118","709_4",0.583,0.417,0.25,35.054,0.189
"119","709_5",-0.604,-0.771,0.812,22.25,0.759
"120","709_6",0.021,0.354,1.188,33.98,0.478
"121","713_1",0.146,-0.229,0.688,27.719,0.171
"122","713_2",-0.104,0.083,0.625,31.135,0.105
"123","713_3",-0.042,0.146,0.062,31.934,0.022
"124","713_4",-0.042,0.146,0.188,31.926,0.03
"125","713_5",-0.104,0.083,0.5,31.17,0.069
"126","713_6",0.146,-0.229,0.438,27.789,0.1
"127","714_1",-0.083,0.417,1,34.819,0.424
"128","714_2",-0.146,-1.083,1.875,18.675,2.053
"129","714_3",0.229,0.667,0.875,37.901,0.636
"130","714_4",0.229,0.667,0.125,38.089,0.448
"131","714_5",-0.146,-1.083,1.125,19.237,1.49
"132","714_6",-0.083,0.417,2,34.069,1.174
"133","786_1",1.667,0.375,0.125,34.574,0.145
"134","786_2",-0.708,-0.562,0.938,24.211,0.536
"135","786_3",-0.958,0.188,0.812,32.243,0.2
"136","786_4",-0.958,0.188,0.062,32.407,0.036
"137","786_5",-0.708,-0.562,0.188,24.422,0.325
"138","786_6",1.667,0.375,1,34.328,0.391
"139","799_1",-0.104,-0.375,1,26.07,0.391
"140","799_2",0.333,0.062,2.062,29.937,1.067
"141","799_3",-0.229,0.312,1.062,33.564,0.38
"142","799_4",-0.229,0.312,1.438,33.33,0.614
"143","799_5",0.333,0.062,0.438,30.952,0.052
"144","799_6",-0.104,-0.375,0.625,26.222,0.238
"145","801_1",0.125,0.104,0.85,31.285,0.191
"146","801_2",0.417,0.479,0.5,35.751,0.292
"147","801_3",-0.542,-0.771,0.3,22.392,0.617
"148","801_4",0,0.187,0.05,32.407,0.036
"149","801_5",-0.417,-0.188,0.4,28.239,0.075
"150","801_6",0.5,0.437,0.35,35.286,0.222
"151","801_7",-0.208,-0.354,0.1,26.531,0.128
"152","801_8",-0.083,-0.063,0.45,29.573,0.055
"153","801_9",0.083,-0.229,0.55,27.762,0.128
"154","801_10",0.125,0.396,0.5,34.761,0.219
"155","805_1",-0.562,-0.188,1.812,27.457,0.856
"156","805_2",-0.5,-0.625,1,23.567,0.641
"157","805_3",1.062,0.812,0.812,39.749,0.825
"158","805_4",1.062,0.812,0.688,39.796,0.778
"159","805_5",-0.5,-0.625,1.125,23.501,0.707
"160","805_6",-0.562,-0.188,0.312,28.254,0.06
"161","814_1",-1.083,-0.083,0.75,29.257,0.148
"162","814_2",0.667,0.729,1.312,38.438,0.962
"163","814_3",0.417,-0.646,0.562,23.535,0.496
"164","814_4",0.417,-0.646,1.438,23.098,0.934
"165","814_5",0.667,0.729,0.688,38.75,0.65
"166","814_6",-1.083,-0.083,0.125,29.394,0.011
"167","815_1",0.104,0.271,2.562,31.722,1.715
"168","815_2",-0.208,-0.417,0.375,25.859,0.209
"169","815_3",0.104,0.146,2.188,30.739,1.218
"170","815_4",0.104,0.146,0.562,31.856,0.1
"171","815_5",-0.208,-0.417,2,24.894,1.174
"172","815_6",0.104,0.271,0.188,33.355,0.082
"173","817_1",-0.104,1.062,0.35,43.105,1.16
"174","817_2",-0.729,-0.938,1.85,20.009,1.735
"175","817_3",1.271,0.187,1,32.158,0.285
"176","817_4",-0.438,-0.313,0.5,26.902,0.16
"177","817_5",0.187,-0.313,0.3,26.942,0.12
"178","817_6",0.062,-0.438,0.15,25.677,0.197
"179","817_7",-0.146,-0.313,0.1,26.962,0.1
"180","817_8",-0.688,0.437,0.9,35.114,0.394
"181","817_9",1.229,0.812,0.65,39.809,0.766
"182","817_10",-0.646,-0.188,0.25,28.263,0.051
"183","889_1",0.271,0.542,0.875,36.374,0.485
"184","889_2",0.146,-0.396,1.062,25.824,0.439
"185","889_3",-0.417,-0.146,0.188,28.715,0.03
"186","889_4",-0.417,-0.146,0.438,28.676,0.069
"187","889_5",0.146,-0.396,1.312,25.676,0.587
"188","889_6",0.271,0.542,1.5,36.003,0.856
"189","890_1",0.167,-0.875,1,21.189,1.016
