"","dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SumSquares Product.di","Humility SumSquares.di"
"1","210_1",-0.608,0.253,1.448,-0.46,0.212,1.176
"2","210_2",1.555,1.149,0.965,1.087,1.182,3.106
"3","210_3",-0.946,-1.402,0.483,1.907,3.636,4.047
"4","210_4",-0.946,-1.402,0.069,1.964,3.857,3.933
"5","210_5",1.555,1.149,1.379,0.845,0.714,3.591
"6","210_6",-0.608,0.253,0.896,-0.137,0.019,0.529
"7","230_1",1.354,1.343,0.055,1.802,3.246,3.607
"8","230_2",-0.678,-0.207,1.694,-0.674,0.455,1.52
"9","230_3",-2.927,-3.089,1.025,9.28,86.119,19.61
"10","230_4",2.251,1.953,2.663,2.042,4.171,11.178
"11","230_5",-0.268,-0.161,1.56,-0.583,0.34,1.269
"12","230_6",1.797,3.437,1.402,11.324,128.238,24.614
"13","230_7",-2.882,-4.619,2.907,19.223,369.53,46.898
"14","230_8",0.723,-1.323,1.457,1.22,1.488,4.563
"15","230_9",0.223,1.691,1.324,2.421,5.861,6.594
"16","230_10",0.408,0.975,1.08,0.659,0.434,2.484
"17","260_1",-1.442,-0.873,1.792,-0.041,0.002,3.132
"18","260_2",-0.023,0.299,1.172,-0.254,0.065,0.865
"19","260_3",1.465,0.575,0.62,0.234,0.055,0.853
"20","260_4",1.465,0.575,1.172,-0.013,0,1.347
"21","260_5",-0.023,0.299,0.62,-0.007,0,0.371
"22","260_6",-1.442,-0.873,0,0.763,0.582,1.525
"23","280_1",-0.045,-1.907,0.345,3.608,13.021,7.336
"24","280_2",-0.18,0.712,0.207,0.497,0.247,1.036
"25","280_3",0.225,1.195,0.552,1.352,1.828,3.008
"26","280_4",0.225,1.195,0.138,1.423,2.026,2.866
"27","280_5",-0.18,0.712,0.207,0.497,0.247,1.036
"28","280_6",-0.045,-1.907,0.345,3.608,13.021,7.336
"29","291_1",-0.315,-0.23,0.276,0.034,0.001,0.144
"30","291_2",0.834,-0.092,1.517,-0.567,0.321,1.167
"31","291_3",-0.518,0.322,1.792,-0.7,0.49,1.814
"32","291_4",-0.518,0.322,0.689,-0.015,0,0.445
"33","291_5",0.834,-0.092,0.965,-0.224,0.05,0.483
"34","291_6",-0.315,-0.23,0.827,-0.118,0.014,0.448
"35","292_1",0.946,0.942,0.345,0.858,0.736,1.835
"36","292_2",-0.473,-1.126,1.172,0.925,0.855,3.223
"37","292_3",-0.473,0.184,1.517,-0.541,0.293,1.218
"38","292_4",-0.473,0.184,0.827,-0.137,0.019,0.41
"39","292_5",-0.473,-1.126,1.172,0.925,0.855,3.223
"40","292_6",0.946,0.942,0.345,0.858,0.736,1.835
"41","304_1",-0.113,-0.161,0.207,0.015,0,0.073
"42","304_2",0.225,0.184,0.414,-0.009,0,0.153
"43","304_3",-0.113,-0.023,0.207,-0.01,0,0.022
"44","304_4",-0.113,-0.023,0.207,-0.01,0,0.022
"45","304_5",0.225,0.184,0,0.034,0.001,0.068
"46","304_6",-0.113,-0.161,0.207,0.015,0,0.073
"47","305_1",-0.225,0.069,0.345,-0.025,0.001,0.069
"48","305_2",0.248,0.138,0,0.019,0,0.038
"49","305_3",-0.023,-0.207,0.345,0.013,0,0.145
"50","305_4",-0.023,-0.207,0.069,0.042,0.002,0.088
"51","305_5",0.248,0.138,0.414,-0.024,0.001,0.124
"52","305_6",-0.225,0.069,0.069,0.004,0,0.012
"53","334_1",-0.991,-0.023,1.586,-0.628,0.394,1.258
"54","334_2",-0.653,-0.161,1.034,-0.241,0.058,0.586
"55","334_3",1.645,0.184,0.552,-0.042,0.002,0.22
"56","334_4",1.645,0.184,2.344,-1.34,1.795,2.815
"57","334_5",-0.653,-0.161,0.758,-0.118,0.014,0.339
"58","334_6",-0.991,-0.023,1.31,-0.428,0.184,0.859
"59","389_1",0,0.138,0.414,-0.024,0.001,0.124
"60","389_2",0,0.138,0.689,-0.1,0.01,0.276
"61","389_3",0,-0.276,0.276,0.057,0.003,0.19
"62","389_4",0,-0.276,0.276,0.057,0.003,0.19
