"","dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Sum.di","Humility Product.di","Humility SumSquares.di"
"1","210_1",-0.608,0.253,1.448,0.506,-0.46,1.176
"2","210_2",1.555,1.149,0.965,2.298,1.087,3.106
"3","210_3",-0.946,-1.402,0.483,-2.804,1.907,4.047
"4","210_4",-0.946,-1.402,0.069,-2.804,1.964,3.933
"5","210_5",1.555,1.149,1.379,2.298,0.845,3.591
"6","210_6",-0.608,0.253,0.896,0.506,-0.137,0.529
"7","230_1",1.354,1.343,0.055,2.685,1.802,3.607
"8","230_2",-0.678,-0.207,1.694,-0.414,-0.674,1.52
"9","230_3",-2.927,-3.089,1.025,-6.178,9.28,19.61
"10","230_4",2.251,1.953,2.663,3.907,2.042,11.178
"11","230_5",-0.268,-0.161,1.56,-0.322,-0.583,1.269
"12","230_6",1.797,3.437,1.402,6.875,11.324,24.614
"13","230_7",-2.882,-4.619,2.907,-9.238,19.223,46.898
"14","230_8",0.723,-1.323,1.457,-2.646,1.22,4.563
"15","230_9",0.223,1.691,1.324,3.382,2.421,6.594
"16","230_10",0.408,0.975,1.08,1.95,0.659,2.484
"17","260_1",-1.442,-0.873,1.792,-1.747,-0.041,3.132
"18","260_2",-0.023,0.299,1.172,0.597,-0.254,0.865
"19","260_3",1.465,0.575,0.62,1.149,0.234,0.853
"20","260_4",1.465,0.575,1.172,1.149,-0.013,1.347
"21","260_5",-0.023,0.299,0.62,0.597,-0.007,0.371
"22","260_6",-1.442,-0.873,0,-1.747,0.763,1.525
"23","280_1",-0.045,-1.907,0.345,-3.815,3.608,7.336
"24","280_2",-0.18,0.712,0.207,1.425,0.497,1.036
"25","280_3",0.225,1.195,0.552,2.39,1.352,3.008
"26","280_4",0.225,1.195,0.138,2.39,1.423,2.866
"27","280_5",-0.18,0.712,0.207,1.425,0.497,1.036
"28","280_6",-0.045,-1.907,0.345,-3.815,3.608,7.336
"29","291_1",-0.315,-0.23,0.276,-0.46,0.034,0.144
"30","291_2",0.834,-0.092,1.517,-0.184,-0.567,1.167
"31","291_3",-0.518,0.322,1.792,0.643,-0.7,1.814
"32","291_4",-0.518,0.322,0.689,0.643,-0.015,0.445
"33","291_5",0.834,-0.092,0.965,-0.184,-0.224,0.483
"34","291_6",-0.315,-0.23,0.827,-0.46,-0.118,0.448
"35","292_1",0.946,0.942,0.345,1.884,0.858,1.835
"36","292_2",-0.473,-1.126,1.172,-2.252,0.925,3.223
"37","292_3",-0.473,0.184,1.517,0.368,-0.541,1.218
"38","292_4",-0.473,0.184,0.827,0.368,-0.137,0.41
"39","292_5",-0.473,-1.126,1.172,-2.252,0.925,3.223
"40","292_6",0.946,0.942,0.345,1.884,0.858,1.835
"41","304_1",-0.113,-0.161,0.207,-0.322,0.015,0.073
"42","304_2",0.225,0.184,0.414,0.368,-0.009,0.153
"43","304_3",-0.113,-0.023,0.207,-0.046,-0.01,0.022
"44","304_4",-0.113,-0.023,0.207,-0.046,-0.01,0.022
"45","304_5",0.225,0.184,0,0.368,0.034,0.068
"46","304_6",-0.113,-0.161,0.207,-0.322,0.015,0.073
"47","305_1",-0.225,0.069,0.345,0.138,-0.025,0.069
