"","dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Sum.di","Humility Product.di","Humility SquaresMean.di","NA","NA","NA"
"1","210_1",-0.608,0.253,1.448,0.506,-0.46,39.488,0.212,1.176,0.588
"2","210_2",1.555,1.149,0.965,2.298,1.087,51.92,1.182,3.106,1.553
"3","210_3",-0.946,-1.402,0.483,-2.804,1.907,21.759,3.636,4.047,2.023
"4","210_4",-0.946,-1.402,0.069,-2.804,1.964,21.816,3.857,3.933,1.966
"5","210_5",1.555,1.149,1.379,2.298,0.845,51.678,0.714,3.591,1.796
"6","210_6",-0.608,0.253,0.896,0.506,-0.137,39.811,0.019,0.529,0.265
"7","230_1",1.354,1.343,0.055,2.685,1.802,54.985,3.246,3.607,1.803
"8","230_2",-0.678,-0.207,1.694,-0.414,-0.674,33.691,0.455,1.52,0.76
"9","230_3",-2.927,-3.089,1.025,-6.178,9.28,8.639,86.119,19.61,9.805
"10","230_4",2.251,1.953,2.663,3.907,2.042,62.644,4.171,11.178,5.589
"11","230_5",-0.268,-0.161,1.56,-0.322,-0.583,34.341,0.34,1.269,0.634
"12","230_6",1.797,3.437,1.402,6.875,11.324,89.95,128.238,24.614,12.307
"13","230_7",-2.882,-4.619,2.907,-9.238,19.223,0,369.53,46.898,23.449
"14","230_8",0.723,-1.323,1.457,-2.646,1.22,22.027,1.488,4.563,2.282
"15","230_9",0.223,1.691,1.324,3.382,2.421,59.835,5.861,6.594,3.297
"16","230_10",0.408,0.975,1.08,1.95,0.659,49.377,0.434,2.484,1.242
"17","260_1",-1.442,-0.873,1.792,-1.747,-0.041,26.231,0.002,3.132,1.566
"18","260_2",-0.023,0.299,1.172,0.597,-0.254,40.252,0.065,0.865,0.433
"19","260_3",1.465,0.575,0.62,1.149,0.234,44.089,0.055,0.853,0.426
"20","260_4",1.465,0.575,1.172,1.149,-0.013,43.842,0,1.347,0.673
"21","260_5",-0.023,0.299,0.62,0.597,-0.007,40.499,0,0.371,0.185
"22","260_6",-1.442,-0.873,0,-1.747,0.763,27.034,0.582,1.525,0.763
"23","280_1",-0.045,-1.907,0.345,-3.815,3.608,17.32,13.021,7.336,3.668
"24","280_2",-0.18,0.712,0.207,1.425,0.497,46.027,0.247,1.036,0.518
"25","280_3",0.225,1.195,0.552,2.39,1.352,52.743,1.828,3.008,1.504
"26","280_4",0.225,1.195,0.138,2.39,1.423,52.815,2.026,2.866,1.433
"27","280_5",-0.18,0.712,0.207,1.425,0.497,46.027,0.247,1.036,0.518
"28","280_6",-0.045,-1.907,0.345,-3.815,3.608,17.32,13.021,7.336,3.668
"29","291_1",-0.315,-0.23,0.276,-0.46,0.034,34.12,0.001,0.144,0.072
"30","291_2",0.834,-0.092,1.517,-0.184,-0.567,35.195,0.321,1.167,0.584
"31","291_3",-0.518,0.322,1.792,0.643,-0.7,40.085,0.49,1.814,0.907
"32","291_4",-0.518,0.322,0.689,0.643,-0.015,40.77,0,0.445,0.222
"33","291_5",0.834,-0.092,0.965,-0.184,-0.224,35.537,0.05,0.483,0.241
