"","Dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SquaresMean.di"
"1","210_1",-0.608,0.253,1.448,-0.46,0.588
"2","210_2",1.555,1.149,0.965,1.087,1.553
"3","210_3",-0.946,-1.402,0.483,1.907,2.023
"4","210_4",-0.946,-1.402,0.069,1.964,1.966
"5","210_5",1.555,1.149,1.379,0.845,1.796
"6","210_6",-0.608,0.253,0.896,-0.137,0.265
"7","230_1",1.354,1.343,0.055,1.802,1.803
"8","230_2",-0.678,-0.207,1.694,-0.674,0.76
"9","230_3",-2.927,-3.089,1.025,9.28,9.805
"10","230_4",2.251,1.953,2.663,2.042,5.589
"11","230_5",-0.268,-0.161,1.56,-0.583,0.634
"12","230_6",1.797,3.437,1.402,11.324,12.307
"13","230_7",-2.882,-4.619,2.907,19.223,23.449
"14","230_8",0.723,-1.323,1.457,1.22,2.282
"15","230_9",0.223,1.691,1.324,2.421,3.297
"16","230_10",0.408,0.975,1.08,0.659,1.242
"17","260_1",-1.442,-0.873,1.792,-0.041,1.566
"18","260_2",-0.023,0.299,1.172,-0.254,0.433
"19","260_3",1.465,0.575,0.62,0.234,0.426
"20","260_4",1.465,0.575,1.172,-0.013,0.673
"21","260_5",-0.023,0.299,0.62,-0.007,0.185
"22","260_6",-1.442,-0.873,0,0.763,0.763
"23","280_1",-0.045,-1.907,0.345,3.608,3.668
"24","280_2",-0.18,0.712,0.207,0.497,0.518
"25","280_3",0.225,1.195,0.552,1.352,1.504
"26","280_4",0.225,1.195,0.138,1.423,1.433
"27","280_5",-0.18,0.712,0.207,0.497,0.518
"28","280_6",-0.045,-1.907,0.345,3.608,3.668
"29","291_1",-0.315,-0.23,0.276,0.034,0.072
"30","291_2",0.834,-0.092,1.517,-0.567,0.584
"31","291_3",-0.518,0.322,1.792,-0.7,0.907
"32","291_4",-0.518,0.322,0.689,-0.015,0.222
"33","291_5",0.834,-0.092,0.965,-0.224,0.241
"34","291_6",-0.315,-0.23,0.827,-0.118,0.224
"35","292_1",0.946,0.942,0.345,0.858,0.917
"36","292_2",-0.473,-1.126,1.172,0.925,1.611
"37","292_3",-0.473,0.184,1.517,-0.541,0.609
"38","292_4",-0.473,0.184,0.827,-0.137,0.205
"39","292_5",-0.473,-1.126,1.172,0.925,1.611
"40","292_6",0.946,0.942,0.345,0.858,0.917
"41","304_1",-0.113,-0.161,0.207,0.015,0.037
"42","304_2",0.225,0.184,0.414,-0.009,0.077
"43","304_3",-0.113,-0.023,0.207,-0.01,0.011
"44","304_4",-0.113,-0.023,0.207,-0.01,0.011
"45","304_5",0.225,0.184,0,0.034,0.034
"46","304_6",-0.113,-0.161,0.207,0.015,0.037
"47","305_1",-0.225,0.069,0.345,-0.025,0.034
"48","305_2",0.248,0.138,0,0.019,0.019
"49","305_3",-0.023,-0.207,0.345,0.013,0.072
"50","305_4",-0.023,-0.207,0.069,0.042,0.044
"51","305_5",0.248,0.138,0.414,-0.024,0.062
"52","305_6",-0.225,0.069,0.069,0.004,0.006
"53","334_1",-0.991,-0.023,1.586,-0.628,0.629
"54","334_2",-0.653,-0.161,1.034,-0.241,0.293
"55","334_3",1.645,0.184,0.552,-0.042,0.11
"56","334_4",1.645,0.184,2.344,-1.34,1.407
"57","334_5",-0.653,-0.161,0.758,-0.118,0.17
"58","334_6",-0.991,-0.023,1.31,-0.428,0.429
"59","389_1",0,0.138,0.414,-0.024,0.062
"60","389_2",0,0.138,0.689,-0.1,0.138
"61","389_3",0,-0.276,0.276,0.057,0.095
"62","389_4",0,-0.276,0.276,0.057,0.095
"63","389_5",0,0.138,0.138,0.014,0.024
"64","389_6",0,0.138,0.414,-0.024,0.062
"65","407_1",-0.225,-0.483,0,0.233,0.233
"66","407_2",1.532,0.942,0.055,0.887,0.889
"67","407_3",-1.622,-1.08,1.048,0.892,1.441
"68","407_4",0.315,0.62,0.993,0.139,0.631
"69","407_5",0.18,1.31,1.599,1.076,2.355
"70","407_6",0.541,0.529,1.324,-0.159,0.717
"71","407_7",-0.496,-1.356,2.923,-0.298,3.975
"72","407_8",-0.406,-1.218,3.309,-1.254,4.221
"73","407_9",-1.307,-1.034,4.854,-4.82,6.959
"74","407_10",1.487,1.77,0.938,2.911,3.351
"75","507_1",0.045,-1.08,1.999,0.167,2.166
"76","507_2",0.518,0.437,2.275,-1.103,1.485
"77","507_3",-0.563,0.643,0.276,0.395,0.433
"78","507_4",-0.563,0.643,1.517,-0.161,0.989
"79","507_5",0.518,0.437,0.483,0.132,0.249
"80","507_6",0.045,-1.08,0.758,1.023,1.31
"81","555_1",-0.045,-0.092,0.552,-0.068,0.084
"82","555_2",0.023,0.873,0.965,0.53,0.995
"83","555_3",0.023,-0.781,0.414,0.568,0.653
"84","555_4",0.023,-0.781,1.517,0.035,1.186
"85","555_5",0.023,0.873,0.965,0.53,0.995
"86","555_6",-0.045,-0.092,0.552,-0.068,0.084
"87","690_1",0.045,0.23,0.138,0.048,0.058
"88","690_2",-0.428,0.23,0.552,-0.023,0.129
"89","690_3",0.383,-0.46,0.414,0.168,0.254
"90","690_4",0.383,-0.46,0.138,0.206,0.216
"91","690_5",-0.428,0.23,0.276,0.034,0.072
"92","690_6",0.045,0.23,0.689,-0.066,0.172
"93","691_1",0.518,-0.184,0.938,-0.186,0.254
"94","691_2",-0.248,-1.195,2.813,-0.55,3.406
"95","691_3",0.428,1.149,1.765,0.542,2.099
"96","691_4",-0.699,0.23,0.11,0.05,0.056
"97","691_5",-0.383,1.379,0.386,1.864,1.938
"98","691_6",0.158,0,0.276,-0.019,0.019
"99","691_7",-0.293,-1.195,0.827,1.257,1.599
"100","691_8",-0.473,-1.149,2.868,-0.736,3.377
"101","691_9",1.104,0.965,0.441,0.883,0.98
"102","691_10",-0.113,0,1.379,-0.475,0.475
"103","705_1",0.18,0.023,0.758,-0.143,0.144
"104","705_2",0.045,0.092,0,0.008,0.008
"105","705_3",-0.225,-0.115,0.758,-0.131,0.157
"106","705_4",-0.225,-0.115,0.207,0.003,0.024
"107","705_5",0.045,0.092,0.965,-0.224,0.241
"108","705_6",0.18,0.023,0.207,-0.01,0.011
"109","708_1",0.721,-0.115,1.724,-0.729,0.756
"110","708_2",-0.09,0.023,0.345,-0.029,0.03
"111","708_3",-0.631,0.092,1.379,-0.467,0.484
"112","708_4",-0.631,0.092,1.241,-0.377,0.393
"113","708_5",-0.09,0.023,0.483,-0.058,0.059
"114","708_6",0.721,-0.115,0.896,-0.188,0.214
"115","709_1",0.023,0.391,0.62,0.056,0.249
"116","709_2",-0.653,-0.85,1.034,0.456,0.99
"117","709_3",0.631,0.46,0.414,0.168,0.254
"118","709_4",0.631,0.46,0.276,0.192,0.23
"119","709_5",-0.653,-0.85,0.896,0.522,0.924
"120","709_6",0.023,0.391,1.31,-0.276,0.582
"121","713_1",0.158,-0.253,0.758,-0.08,0.208
"122","713_2",-0.113,0.092,0.689,-0.11,0.127
"123","713_3",-0.045,0.161,0.069,0.025,0.027
"124","713_4",-0.045,0.161,0.207,0.015,0.037
"125","713_5",-0.113,0.092,0.552,-0.068,0.084
"126","713_6",0.158,-0.253,0.483,0.006,0.122
"127","714_1",-0.09,0.46,1.103,-0.093,0.515
"128","714_2",-0.158,-1.195,2.068,0.359,2.497
"129","714_3",0.248,0.735,0.965,0.308,0.774
"130","714_4",0.248,0.735,0.138,0.536,0.546
"131","714_5",-0.158,-1.195,1.241,1.043,1.813
"132","714_6",-0.09,0.46,2.206,-1.006,1.428
"133","786_1",1.803,0.414,0.138,0.166,0.176
"134","786_2",-0.766,-0.62,1.034,0.118,0.652
"135","786_3",-1.037,0.207,0.896,-0.158,0.244
"136","786_4",-1.037,0.207,0.069,0.042,0.044
"137","786_5",-0.766,-0.62,0.207,0.374,0.396
"138","786_6",1.803,0.414,1.103,-0.133,0.475
"139","799_1",-0.113,-0.414,1.103,-0.133,0.475
"140","799_2",0.361,0.069,2.275,-1.289,1.299
"141","799_3",-0.248,0.345,1.172,-0.225,0.462
"142","799_4",-0.248,0.345,1.586,-0.51,0.747
"143","799_5",0.361,0.069,0.483,-0.053,0.063
"144","799_6",-0.113,-0.414,0.689,0.052,0.29
"145","801_1",0.135,0.115,0.938,-0.207,0.233
"146","801_2",0.451,0.529,0.552,0.203,0.355
"147","801_3",-0.586,-0.85,0.331,0.696,0.75
"148","801_4",0,0.207,0.055,0.042,0.044
"149","801_5",-0.451,-0.207,0.441,-0.006,0.091
"150","801_6",0.541,0.483,0.386,0.196,0.27
"151","801_7",-0.225,-0.391,0.11,0.15,0.156
"152","801_8",-0.09,-0.069,0.496,-0.057,0.066
"153","801_9",0.09,-0.253,0.607,-0.028,0.156
"154","801_10",0.135,0.437,0.552,0.115,0.267
"155","805_1",-0.608,-0.207,1.999,-0.957,1.042
"156","805_2",-0.541,-0.689,1.103,0.171,0.779
"157","805_3",1.149,0.896,0.896,0.602,1.004
"158","805_4",1.149,0.896,0.758,0.659,0.947
"159","805_5",-0.541,-0.689,1.241,0.09,0.86
"160","805_6",-0.608,-0.207,0.345,0.013,0.072
"161","814_1",-1.172,-0.092,0.827,-0.163,0.18
"162","814_2",0.721,0.804,1.448,0.123,1.171
"163","814_3",0.451,-0.712,0.62,0.411,0.604
"164","814_4",0.451,-0.712,1.586,-0.121,1.136
"165","814_5",0.721,0.804,0.758,0.503,0.791
"166","814_6",-1.172,-0.092,0.138,0.004,0.013
"167","815_1",0.113,0.299,2.827,-1.908,2.087
"168","815_2",-0.225,-0.46,0.414,0.168,0.254
"169","815_3",0.113,0.161,2.413,-1.43,1.481
"170","815_4",0.113,0.161,0.62,-0.07,0.122
"171","815_5",-0.225,-0.46,2.206,-1.006,1.428
"172","815_6",0.113,0.299,0.207,0.079,0.1
"173","817_1",-0.113,1.172,0.386,1.336,1.411
"174","817_2",-0.789,-1.034,2.041,0.028,2.111
"175","817_3",1.375,0.207,1.103,-0.261,0.347
"176","817_4",-0.473,-0.345,0.552,0.043,0.195
"177","817_5",0.203,-0.345,0.331,0.091,0.146
"178","817_6",0.068,-0.483,0.165,0.226,0.24
"179","817_7",-0.158,-0.345,0.11,0.116,0.122
"180","817_8",-0.744,0.483,0.993,-0.013,0.479
"181","817_9",1.329,0.896,0.717,0.675,0.932
"182","817_10",-0.699,-0.207,0.276,0.024,0.062
"183","889_1",0.293,0.597,0.965,0.124,0.59
"184","889_2",0.158,-0.437,1.172,-0.153,0.534
"185","889_3",-0.451,-0.161,0.207,0.015,0.037
"186","889_4",-0.451,-0.161,0.483,-0.032,0.084
"187","889_5",0.158,-0.437,1.448,-0.333,0.715
"188","889_6",0.293,0.597,1.655,-0.327,1.041
"189","890_1",0.18,-0.965,1.103,0.627,1.236
"190","890_2",1.262,-0.62,3.378,-2.468,3.238
"191","890_3",-1.442,1.586,2.275,1.22,3.808
"192","890_4",-1.442,1.586,1.034,2.247,2.782
"193","890_5",1.262,-0.62,0.069,0.384,0.386
"194","890_6",0.18,-0.965,2.344,-0.442,2.305
"195","980_1",-0.631,0.506,1.792,-0.548,1.059
"196","980_2",0.856,-0.253,0.483,0.006,0.122
"197","980_3",-0.225,-0.253,1.31,-0.365,0.493
"198","980_4",-0.225,-0.253,0.483,0.006,0.122
"199","980_5",0.856,-0.253,1.31,-0.365,0.493
"200","980_6",-0.631,0.506,0,0.256,0.256
"201","981_1",-0.18,0.253,0.345,0.034,0.094
"202","981_2",-0.451,-0.575,0.483,0.272,0.388
"203","981_3",0.631,0.322,0.138,0.099,0.108
"204","981_4",0.631,0.322,1.103,-0.201,0.408
"205","981_5",-0.451,-0.575,0.758,0.186,0.474
"206","981_6",-0.18,0.253,0.62,-0.032,0.16
"207","995_1",-0.09,0.207,0.069,0.042,0.044
"208","995_2",0.248,0.069,0.207,-0.006,0.015
"209","995_3",-0.158,-0.276,0.138,0.071,0.081
"210","995_4",-0.158,-0.276,1.379,-0.399,0.551
"211","995_5",0.248,0.069,1.31,-0.424,0.434
"212","995_6",-0.09,0.207,1.172,-0.301,0.386
