a.id,Participant ID,Hum_rel.AB,Creat_rel.AB,Contr_rel.AB,Safety_rel.AB,NonTalk_rel.AB,Shy_rel.AB,Hum_rel.BA,Creat_rel.BA,Contr_rel.BA,Safety_rel.BA,NonTalk_rel.BA,Shy_rel.BA
"""210:1",210:1,2.115,0.789,3.344,2.189,0.061,6.043,2.049,5.862,0.678,0.669,13.612,0.56
210:02:00,210:2,1.614,2.866,0.078,0.503,13.612,5.495,2.736,4.219,6.744,1.865,0.061,2.205
210:03:00,210:3,1.403,6.485,7.077,2.498,2.216,1.794,2.382,0.454,0.144,3.67,7.144,7.277
210:04:00,210:4,3.059,2.06,1.144,3.519,7.144,0.149,1.025,1.667,4.078,2.506,2.216,3.439
230:01:00,230:1,8.916,6.679,8.223,5.942,0.512,0.483,3.055,4.601,8.034,8.037,0.831,0.313
230:02:00,230:2,18.706,3.87,17.515,17.698,0.273,2.002,6.757,5.603,4.431,1.956,0.831,0.199
230:03:00,230:3,3.68,0.714,4.684,9.012,3.034,0.345,0.969,0.981,2.029,0.331,1.76,1.003
230:04:00,230:4,4.89,5.094,5.379,0.109,5.901,1.417,12.2,3.572,9.551,6.122,2.477,0.443
230:05:00,230:5,4.587,3.939,3.167,0.841,1.946,0.166,17.798,5.538,14.923,17.158,5.768,2.457
260:01:00,260:1,2.348,4.072,3.169,7.095,11.204,1.939,0.076,0.818,0.369,0.096,0.117,0.363
260:02:00,260:2,0,0.928,0.386,0.096,3.392,0.517,2.424,3.779,3.119,7.095,3.392,1.751
260:03:00,260:3,1.096,4.198,0.903,2.67,3.392,0.98,0.773,0.77,0.503,1.846,3.392,0.089
260:04:00,260:4,0.602,0.633,0.719,1.846,0.117,0.106,0.773,4.463,1.186,2.67,11.204,1.339
280:01:00,280:1,3.43,0.778,1.019,0.655,0.355,2.008,2.26,0.248,0.286,0.274,1.699,0.774
280:02:00,280:2,2.325,1.674,0.136,0.274,1.363,3.533,3.294,0.778,0.669,0.655,0.019,0.448
280:03:00,280:3,3.294,0.65,0.136,0.274,1.699,0.568,2.325,1.473,1.203,0.274,0.355,1.254
280:04:00,280:4,2.26,0.522,0.953,0.084,0.019,0.174,3.43,1.126,0.086,0.084,1.363,3.807
291:01:00,291:1,0.391,1.216,0.803,0.104,0.425,2.745,1.171,0.165,0.469,1.529,2.328,0.208
291:02:00,291:2,0.144,0.658,0.586,1.529,0.733,0.397,0.391,0.613,0.453,0.104,0.509,2.59
291:03:00,291:3,0.6,0.117,0.603,0.888,1.209,1.151,0.429,1.25,0.936,0.318,1.993,0.603
291:04:00,291:4,1.114,0.565,0.119,0.318,2.748,0.62,0.258,0.528,0.253,0.888,0.285,1.511
292:01:00,292:1,2.206,0.456,1.425,0.249,0.649,1.819,0.932,1.032,1.158,1.39,0.313,0.174
292:02:00,292:2,2.265,1.032,1.308,0.249,1.405,2.453,0.469,0.456,1.508,0.249,0.061,0.74
292:03:00,292:3,0.469,0.682,0.308,1.318,0.313,0.997,2.265,0.682,2.775,0.463,0.649,2.093
292:04:00,292:4,0.932,0.764,2.758,0.748,0.061,0.054,2.206,0.764,0.358,0.463,1.405,2.316
304:01:00,304:1,0.005,0.583,0.053,0,1.05,0.98,0.119,1.223,0.186,0,0.938,0.294
304:02:00,304:2,0.055,0.019,0.336,0,1.862,0.363,0.027,0.156,0.136,0,0.294,1.597
304:03:00,304:3,0.119,1.086,0.269,0,0.518,1.682,0.005,0.446,0.469,0,0.294,0.517
304:04:00,304:4,0.027,0.795,0.386,0,0.042,0.517,0.055,0.658,0.253,0,1.946,1.134
305:01:00,305:1,0.015,0.469,0.4,0.004,0.061,1.999,0.111,0.085,4.133,0.099,0.173,0.217
305:02:00,305:2,0.046,0.085,2.533,0.075,0.145,1.04,0.094,0.469,0.933,0.012,0.145,1.177
305:03:00,305:3,0.044,0.037,3.6,0.075,0.173,0.697,0.025,0.229,0.933,0.012,0.061,1.108
305:04:00,305:4,0.132,0.229,0.4,0.004,0.033,0.56,0.008,0.037,0.933,0.036,0.033,1.794
334:01:00,334:1,0.502,1.223,0.169,2.852,1.455,0.705,0.53,4.924,0.369,0.286,0.728,0.226
334:02:00,334:2,0.808,1.789,0.453,1.355,3.044,0.14,1.398,2.438,0.586,1.229,1.42,0.688
334:03:00,334:3,1.379,3.089,0.186,0.373,1.4,0.226,0.751,3.309,0.053,2.78,3.023,0.705
334:04:00,334:4,0.35,5.228,0.636,1.236,0.776,0.688,0.359,0.658,0.436,1.521,1.504,0.14
389:01:00,389:1,0.204,0.087,0.436,0.417,0,0.149,0.09,0.087,0.036,1.304,0.896,4.124
389:02:00,389:2,0.147,0.032,0.036,1.019,0,0.56,0.033,0.032,0.169,0.385,0.896,2.068
389:03:00,389:3,0.09,0.032,0.286,0.164,0.896,2.068,0.204,0.032,0.086,0.797,0,0.56
389:04:00,389:4,0.033,0.087,0.019,1.145,0.896,4.124,0.147,0.087,0.486,0.259,0,0.149
407:01:00,407:1,0.465,0.808,0.318,3.581,0.839,0.756,1.665,5.175,1.243,0.676,1.635,1.707
407:02:00,407:2,4.679,2.602,1.266,2.398,0.64,0.261,0.174,0.658,0.555,4.696,2.432,1.431
407:03:00,407:3,3.797,3.827,1.709,7.942,1.516,1.284,5.818,0.762,0.334,5.972,0.242,4.428
407:04:00,407:4,1.491,4.184,0.713,2.504,1.157,2.779,4.996,1.757,0.808,2.774,0.401,0.342
407:05:00,407:5,6.082,0.665,0.263,5.87,1.861,3.218,3.861,3.732,1.33,8.179,1.303,0.391
507:01:00,507:1,3.529,0.782,1.158,0.674,2.049,4.938,0.554,0.042,1.225,0.453,2.384,3.773
507:02:00,507:2,0.029,0.553,0.408,0.231,0.285,7.56,3.375,0.124,3.608,0.833,2.748,0.705
507:03:00,507:3,1.474,0.117,1.358,0.619,1.405,2.488,2.31,0.61,1.825,0.366,0.285,7.149
507:04:00,507:4,1.6,0.062,3.808,0.619,2.944,1.579,0.393,0.738,0.075,0.492,1.265,4.938
555:01:00,555:1,0.258,0.613,0.311,1.097,1.517,0.368,1.475,0.53,0.311,0.083,0.061,0.231
