"","a.id","Hum_rel.AB","Creat_rel.AB","Contr_rel.AB","Safety_rel.AB","NonTalk_rel.AB","Shy_rel.AB","Hum_rel.BA","Creat_rel.BA","Contr_rel.BA","Safety_rel.BA","NonTalk_rel.BA","Shy_rel.BA"
"1","210:1",1.739,0.675,1.568,2.16,0.068,11.021,1.684,5.011,0.318,0.66,15.193,1.021
"2","210:2",1.326,2.45,0.036,0.496,15.193,10.021,2.248,3.606,3.161,1.84,0.068,4.021
"3","210:3",1.153,5.544,3.318,2.465,2.474,3.271,1.957,0.388,0.068,3.621,7.974,13.271
"4","210:4",2.514,1.761,0.536,3.473,7.974,0.271,0.842,1.425,1.911,2.473,2.474,6.271
"5","230:1",7.328,5.709,3.855,5.863,0.572,0.881,2.511,3.933,3.766,7.93,0.927,0.57
"6","230:2",15.373,3.308,8.21,17.463,0.305,3.651,5.553,4.789,2.077,1.93,0.927,0.363
"7","230:3",3.025,0.61,2.196,8.893,3.387,0.629,0.796,0.839,0.951,0.326,1.964,1.829
"8","230:4",4.019,4.354,2.521,0.108,6.587,2.585,10.027,3.053,4.477,6.041,2.764,0.807
"9","230:5",3.77,3.368,1.484,0.83,2.172,0.303,14.627,4.734,6.996,16.93,6.439,4.481
"10","260:1",1.93,3.481,1.486,7.001,12.505,3.536,0.063,0.7,0.173,0.095,0.13,0.661
"11","260:2",0,0.793,0.181,0.095,3.786,0.943,1.993,3.231,1.462,7.001,3.786,3.193
"12","260:3",0.901,3.588,0.423,2.634,3.786,1.786,0.635,0.659,0.236,1.822,3.786,0.161
"13","260:4",0.494,0.541,0.337,1.822,0.13,0.193,0.635,3.815,0.556,2.634,12.505,2.443
"14","280:1",2.819,0.665,0.478,0.646,0.396,3.661,1.858,0.212,0.134,0.271,1.896,1.411
"15","280:2",1.91,1.431,0.064,0.271,1.521,6.443,2.707,0.665,0.314,0.646,0.021,0.818
"16","280:3",2.707,0.556,0.064,0.271,1.896,1.036,1.91,1.259,0.564,0.271,0.396,2.286
