"","DyadN","Group","dyad","partnum","Actor","Partner","Sociable_AB","Talkative_AB","Attractive_AB","Dressed_AB","Extro_AB","ActorN","PartnerN","Sociable_BA","Talkative_BA","Attractive_BA","Dressed_BA","Extro_BA","Adum.pw$ActorN12","Adum.pw$ActorN13","Adum.pw$ActorN14","Adum.pw$ActorN21","Adum.pw$ActorN22","Adum.pw$ActorN23","Adum.pw$ActorN24","Adum.pw$ActorN31","Adum.pw$ActorN32","Adum.pw$ActorN33","Adum.pw$ActorN34","Adum.pw$ActorN41","Adum.pw$ActorN42","Adum.pw$ActorN43","Adum.pw$ActorN44","Adum.pw$ActorN51","Adum.pw$ActorN52","Adum.pw$ActorN53","Adum.pw$ActorN54","Adum.pw$ActorN61","Adum.pw$ActorN62","Adum.pw$ActorN63","Adum.pw$ActorN64","Adum.pw$ActorN71","Adum.pw$ActorN72","Adum.pw$ActorN73","Adum.pw$ActorN74","Adum.pw$ActorN81","Adum.pw$ActorN82","Adum.pw$ActorN83","Adum.pw$ActorN84","Adum.pw$ActorN91","Adum.pw$ActorN92","Adum.pw$ActorN93","Adum.pw$ActorN94","Adum.pw$ActorN101","Adum.pw$ActorN102","Adum.pw$ActorN103","Adum.pw$ActorN104","Adum.pw$ActorN111","Adum.pw$ActorN112","Adum.pw$ActorN113","Adum.pw$ActorN114","Adum.pw$ActorN121","Adum.pw$ActorN122","Adum.pw$ActorN123","Adum.pw$ActorN124","Adum.pw$ActorN131","Adum.pw$ActorN132","Adum.pw$ActorN133","Adum.pw$ActorN134","Adum.pw$ActorN141","Adum.pw$ActorN142","Adum.pw$ActorN143","Adum.pw$ActorN144","Adum.pw$ActorN151","Adum.pw$ActorN152","Adum.pw$ActorN153","Adum.pw$ActorN154","Adum.pw$ActorN161","Adum.pw$ActorN162","Adum.pw$ActorN163","Adum.pw$ActorN164","Adum.pw$ActorN171","Adum.pw$ActorN172","Adum.pw$ActorN173","Adum.pw$ActorN174","Adum.pw$ActorN181","Adum.pw$ActorN182","Adum.pw$ActorN183","Adum.pw$ActorN184","Adum.pw$ActorN191","Adum.pw$ActorN192","Adum.pw$ActorN193","Adum.pw$ActorN194","Adum.pw$ActorN201","Adum.pw$ActorN202","Adum.pw$ActorN203","Adum.pw$ActorN204","Adum.pw$ActorN211","Adum.pw$ActorN212","Adum.pw$ActorN213","Adum.pw$ActorN214","Adum.pw$ActorN221","Adum.pw$ActorN222","Adum.pw$ActorN223","Adum.pw$ActorN224","Adum.pw$ActorN231","Adum.pw$ActorN232","Adum.pw$ActorN233","Adum.pw$ActorN234","Adum.pw$ActorN241","Adum.pw$ActorN242","Adum.pw$ActorN243","Adum.pw$ActorN244","Adum.pw$ActorN251","Adum.pw$ActorN252","Adum.pw$ActorN253","Adum.pw$ActorN254","Adum.pw$ActorN261","Adum.pw$ActorN262","Adum.pw$ActorN263","Adum.pw$ActorN264","Adum.pw$ActorN271","Adum.pw$ActorN272","Adum.pw$ActorN273","Adum.pw$ActorN274","Pdum.pw$PartnerN12","Pdum.pw$PartnerN13","Pdum.pw$PartnerN14","Pdum.pw$PartnerN22","Pdum.pw$PartnerN23","Pdum.pw$PartnerN24","Pdum.pw$PartnerN32","Pdum.pw$PartnerN33","Pdum.pw$PartnerN34","Pdum.pw$PartnerN42","Pdum.pw$PartnerN43","Pdum.pw$PartnerN44","Pdum.pw$PartnerN52","Pdum.pw$PartnerN53","Pdum.pw$PartnerN54","Pdum.pw$PartnerN62","Pdum.pw$PartnerN63","Pdum.pw$PartnerN64","Pdum.pw$PartnerN72","Pdum.pw$PartnerN73","Pdum.pw$PartnerN74","Pdum.pw$PartnerN82","Pdum.pw$PartnerN83","Pdum.pw$PartnerN84","Pdum.pw$PartnerN92","Pdum.pw$PartnerN93","Pdum.pw$PartnerN94","Pdum.pw$PartnerN102","Pdum.pw$PartnerN103","Pdum.pw$PartnerN104","Pdum.pw$PartnerN112","Pdum.pw$PartnerN113","Pdum.pw$PartnerN114","Pdum.pw$PartnerN122","Pdum.pw$PartnerN123","Pdum.pw$PartnerN124","Pdum.pw$PartnerN132","Pdum.pw$PartnerN133","Pdum.pw$PartnerN134","Pdum.pw$PartnerN142","Pdum.pw$PartnerN143","Pdum.pw$PartnerN144","Pdum.pw$PartnerN152","Pdum.pw$PartnerN153","Pdum.pw$PartnerN154","Pdum.pw$PartnerN162","Pdum.pw$PartnerN163","Pdum.pw$PartnerN164","Pdum.pw$PartnerN172","Pdum.pw$PartnerN173","Pdum.pw$PartnerN174","Pdum.pw$PartnerN182","Pdum.pw$PartnerN183","Pdum.pw$PartnerN184","Pdum.pw$PartnerN192","Pdum.pw$PartnerN193","Pdum.pw$PartnerN194","Pdum.pw$PartnerN202","Pdum.pw$PartnerN203","Pdum.pw$PartnerN204","Pdum.pw$PartnerN212","Pdum.pw$PartnerN213","Pdum.pw$PartnerN214","Pdum.pw$PartnerN222","Pdum.pw$PartnerN223","Pdum.pw$PartnerN224","Pdum.pw$PartnerN232","Pdum.pw$PartnerN233","Pdum.pw$PartnerN234","Pdum.pw$PartnerN242","Pdum.pw$PartnerN243","Pdum.pw$PartnerN244","Pdum.pw$PartnerN252","Pdum.pw$PartnerN253","Pdum.pw$PartnerN254","Pdum.pw$PartnerN262","Pdum.pw$PartnerN263","Pdum.pw$PartnerN264","Pdum.pw$PartnerN272","Pdum.pw$PartnerN273","Pdum.pw$PartnerN274"
"1", 11,"1",1,1,1,2,3,6,1,2,2.5,"11","12",4,4,3,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2", 11,"1",1,2,2,1,4,4,3,3,4.0,"12","11",3,6,1,2,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3", 12,"1",2,1,1,3,2,6,2,3,2.0,"11","13",3,4,3,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4", 12,"1",2,2,3,1,3,4,3,2,3.5,"13","11",2,6,2,3,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5", 13,"1",3,1,1,4,3,5,3,4,3.0,"11","14",6,4,3,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6", 13,"1",3,2,4,1,6,4,3,6,5.0,"14","11",3,5,3,4,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7", 14,"1",4,1,2,3,2,4,3,3,3.0,"12","13",2,4,2,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8", 14,"1",4,2,3,2,2,4,2,2,3.0,"13","12",2,4,3,3,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9", 15,"1",5,1,2,4,4,4,3,4,4.0,"12","14",1,6,1,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10", 15,"1",5,2,4,2,1,6,1,1,1.5,"14","12",4,4,3,4,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
