"","Dyad","Intimacy Mean.di","Listening Mean.di","Listening Delta.di","Listening Product.di","Listening SquaresMean.di"
"1","100_1",-0.271,0.104,0.05,13.628,0.011
"2","100_2",1.062,0.646,1.1,17.619,0.72
"3","100_3",-1.562,-1.604,1.6,3.294,3.213
"4","100_4",0.771,0.854,0.45,19.678,0.78
"5","100_5",-0.604,-0.646,0.55,8.578,0.493
"6","100_6",0.396,0.604,1.15,17.239,0.696
"7","100_7",0.479,-0.063,0.65,12.32,0.11
"8","100_8",0.979,0.896,0.2,20.09,0.813
"9","100_9",-1.438,-0.896,1.85,6.389,1.658
"10","100_10",0.188,0.104,2.95,11.453,2.186
"11","201_1",2.25,0.625,0.15,17.74,0.396
"12","201_2",-0.333,0.125,0.15,13.777,0.021
"13","201_3",-1.792,-1.167,0.1,5.858,1.364
"14","201_4",-0.125,0.417,0.4,15.993,0.214
"15","201_5",-1.208,-0.25,1,10.889,0.313
"16","201_6",0.083,0.083,0.8,13.315,0.167
"17","201_7",-1.125,-0.458,0.05,9.791,0.211
"18","201_8",1,0.583,0.7,17.273,0.463
"19","201_9",0.542,-0.458,0.45,9.741,0.261
"20","201_10",0.708,0.5,0,16.708,0.25
"21","280_1",0.396,0.062,1.938,12.384,0.942
"22","280_2",-0.479,-0.063,2.188,11.229,1.2
"23","280_3",0.083,0,0.25,12.855,0.016
"24","280_4",0.083,0,1.125,12.554,0.316
"25","280_5",-0.479,-0.063,0.812,12.261,0.169
"26","280_6",0.396,0.062,1.062,13.04,0.286
"27","281_1",0.875,1.375,0.95,24.401,2.116
"28","281_2",-1.542,-1.542,0.45,4.135,2.427
"29","281_3",1.375,0.792,1.85,18.321,1.482
"30","281_4",-0.708,-0.625,0.45,8.726,0.441
"31","281_5",1.25,1,0,21.045,1
"32","281_6",-2.583,-1.542,0.05,4.185,2.377
"33","281_7",0.458,-0.833,1,7.335,0.944
"34","281_8",0.625,-0.083,1.2,11.919,0.367
"35","281_9",-0.333,0.625,0.75,17.605,0.531
"36","281_10",0.583,0.833,0.7,19.421,0.817
"37","285_1",1.146,1.792,0.375,28.9,3.245
"38","285_2",0.021,-0.458,1.75,9.026,0.976
"39","285_3",-1.167,-1.333,2.125,3.952,2.907
"40","285_4",-1.167,-1.333,1.125,4.765,2.094
"41","285_5",0.021,-0.458,0.75,9.651,0.351
"42","285_6",1.146,1.792,2.875,26.869,5.276
"43","301_1",1.688,1.667,0.05,27.606,2.778
"44","301_2",-1.479,-1.542,0.8,4.025,2.537
"45","301_3",-2.187,-0.708,0.6,8.2,0.592
"46","301_4",1.979,0.583,0.25,17.38,0.356
"47","301_5",-1.646,-1.167,0.25,5.845,1.377
