StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Group,Actor.id,A_L_1,A_L_2,A_L_3,A_L_4,B_L_1,B_L_2,B_L_3,B_L_4,C_L_1,C_L_2,C_L_3,C_L_4,D_L_1,D_L_2,D_L_3,D_L_4,A_I_1,A_I_2,A_I_3,B_I_1,B_I_2,B_I_3,C_I_1,C_I_2,C_I_3,D_I_1,D_I_2,D_I_3,A_S_1,A_S_2,A_S_3,B_S_1,B_S_2,B_S_3,C_S_1,C_S_2,C_S_3,D_S_1,D_S_2,D_S_3,A_H_1,A_H_2,A_H_3,B_H_1,B_H_2,B_H_3,C_H_1,C_H_2,C_H_3,D_H_1,D_H_2,D_H_3,Gender,Age_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,מהו מספר הקבוצה שמופיע על דף הקוד שלך?,מהי אות הקוד של השם שלך?,"סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים,  A מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים, A מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים, A נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של - יחסית לאנשים אחרים, A מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של B ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, B מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של C ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, C מקבל אותי כמו שאני","סמן בבקשה את מידת ההקשבה וההבנה של D  ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D מקשיב לי","סמן בבקשה את מידת ההקשבה וההבנה של D  ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D מבין אותי","סמן בבקשה את מידת ההקשבה וההבנה של D  ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D נותן לי מקום להתבטא","סמן בבקשה את מידת ההקשבה וההבנה של D  ביחס לשאר האנשים בחייך.שים
לב! בסולמות הבאים התשובה 3 מציינת ב""אופן רגיל"". - יחסית לאנשים אחרים, D מקבל אותי כמו שאני",להלן סמן בבקשה את מידת הקירבה שלך ל A. - אני מרגיש קרוב רגשית ל A,להלן סמן בבקשה את מידת הקירבה שלך ל A. - אני מרגיש נוח לשתף את A במחשבות או רגשות פנימיים,להלן סמן בבקשה את מידת הקירבה שלך ל A. - אני נהנה לבצע משימות עם A,להלן סמן בבקשה את מידת הקירבה שלך ל B. - אני מרגיש קרוב רגשית ל B,להלן סמן בבקשה את מידת הקירבה שלך ל B. - אני מרגיש נוח לשתף את B במחשבות או רגשות פנימיים,להלן סמן בבקשה את מידת הקירבה שלך ל B. - אני נהנה לבצע משימות עם B,להלן סמן בבקשה את מידת הקירבה שלך ל C. - אני מרגיש קרוב רגשית ל C,להלן סמן בבקשה את מידת הקירבה שלך ל C. - אני מרגיש נוח לשתף את C במחשבות או רגשות פנימיים,להלן סמן בבקשה את מידת הקירבה שלך ל C. - אני נהנה לבצע משימות עם C,להלן סמן בבקשה את מידת הקירבה שלך ל D. - אני מרגיש קרוב רגשית ל D,להלן סמן בבקשה את מידת הקירבה שלך ל D. - אני מרגיש נוח לשתף את D במחשבות או רגשות פנימיים,להלן סמן בבקשה את מידת הקירבה שלך ל D. - אני נהנה לבצע משימות עם D,להלן סמן בבקשה את אופן הדיבור של A - A מדבר ברור,להלן סמן בבקשה את אופן הדיבור של A - A מדבר בצורה מעניינת,להלן סמן בבקשה את אופן הדיבור של A - ל- A יש קול נעים,להלן סמן בבקשה את אופן הדיבור של B - B מדבר ברור,להלן סמן בבקשה את אופן הדיבור של B - B מדבר בצורה מעניינת,להלן סמן בבקשה את אופן הדיבור של B - ל- B יש קול נעים,להלן סמן בבקשה את אופן הדיבור של C - C מדבר ברור,להלן סמן בבקשה את אופן הדיבור של C - C מדבר בצורה מעניינת,להלן סמן בבקשה את אופן הדיבור של C - ל- C יש קול נעים,להלן סמן בבקשה את אופן הדיבור של D - D מדבר ברור,להלן סמן בבקשה את אופן הדיבור של D - D מדבר בצורה מעניינת,להלן סמן בבקשה את אופן הדיבור של D - ל- D יש קול נעים,להלן סמן בבקשה את רצונך לעזור ל- A מעבר לדרישות התפקיד - ארצה לעזור ל- A מעבר לדרישות התפקיד,"להלן סמן בבקשה את רצונך לעזור ל- A מעבר לדרישות התפקיד - אעזור ל- A בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס",להלן סמן בבקשה את רצונך לעזור ל- A מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- A,להלן סמן בבקשה את רצונך לעזור ל-B מעבר לדרישות התפקיד - ארצה לעזור ל- B מעבר לדרישות התפקיד,"להלן סמן בבקשה את רצונך לעזור ל-B מעבר לדרישות התפקיד - אעזור ל- B בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס",להלן סמן בבקשה את רצונך לעזור ל-B מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- B,להלן סמן בבקשה את רצונך לעזור ל- C מעבר לדרישות התפקיד - ארצה לעזור ל- C מעבר לדרישות התפקיד,"להלן סמן בבקשה את רצונך לעזור ל- C מעבר לדרישות התפקיד - אעזור ל- C בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס",להלן סמן בבקשה את רצונך לעזור ל- C מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- C,להלן סמן בבקשה את רצונך לעזור ל- D מעבר לדרישות התפקיד - ארצה לעזור ל- D מעבר לדרישות התפקיד,"להלן סמן בבקשה את רצונך לעזור ל- D מעבר לדרישות התפקיד - אעזור ל- D בעבודתו, ככל שאוכל, במידה ויהיה עליו עומס",להלן סמן בבקשה את רצונך לעזור ל- D מעבר לדרישות התפקיד - אתגמש בחופשות או שעות עבודה כדי לעזור ל- D,מין,שנת לידה - אנא לחץ ובחר
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26_1""}"
2018-01-07 05:03:18,2018-01-07 05:08:53,0,132.64.205.37,100,334,1,2018-01-07 05:08:53,R_2fpsIR01ptKlJWz,,,,,31.779998779297,35.229995727539,anonymous,HE,601,1,,,,,3,3,4,4,5,4,5,4,7,6,7,7,,,,1,2,1,1,1,3,2,3,3,,,,9,8,9,9,8,9,9,9,9,,,,7,7,5,9,9,8,9,9,9,1,39
2018-01-07 05:53:57,2018-01-07 06:41:51,0,132.64.196.239,100,2873,1,2018-01-07 06:41:51,R_12DNoRxONRtwPk6,,,,,31.779998779297,35.229995727539,anonymous,HE,601,4,4,4,4,4,5,6,7,7,4,4,8,9,,,,,1,2,9,1,4,9,1,1,2,,,,11,9,9,11,10,9,11,9,6,,,,9,6,6,9,6,6,9,6,6,,,,2,26
2018-01-10 05:47:47,2018-01-10 06:10:59,0,132.64.185.65,100,1391,1,2018-01-10 06:10:59,R_3iHYdZ2SIVf598k,,,,,31.779998779297,35.229995727539,anonymous,HE,601,2,4,4,4,4,,,,,4,4,4,4,6,6,6,4,6,6,7,,,,6,6,7,7,7,9,11,8,10,,,,10,8,9,10,11,10,7,7,4,,,,7,7,4,9,9,6,1,37
2018-01-22 05:50:21,2018-01-22 05:56:09,0,132.64.189.65,100,348,1,2018-01-22 05:56:10,R_2dzFtoyMlU4w1zw,,,,,31.779998779297,35.229995727539,anonymous,HE,601,3,9,9,9,9,9,9,9,9,,,,,9,9,10,9,7,7,9,7,7,8,,,,9,10,9,9,8,9,9,8,8,,,,9,9,9,10,10,9,9,9,9,,,,11,11,10,1,19
2018-01-24 00:20:00,2018-01-24 00:28:07,0,37.26.148.160,100,487,1,2018-01-24 00:28:08,R_1LwiJzYGnhUAIvd,,,,,32.066604614258,34.764999389648,anonymous,HE,680,2,4,4,4,6,,,,,6,6,4,6,6,6,4,6,7,8,10,,,,5,5,9,8,8,10,6,8,6,,,,9,8,9,10,10,10,9,9,9,,,,11,10,9,11,10,10,2,58
2018-01-24 00:20:35,2018-01-24 00:29:18,0,37.26.147.151,100,522,1,2018-01-24 00:29:18,R_1OpHyCxwFxDqwIK,,,,,32.066604614258,34.764999389648,anonymous,HE,680,1,,,,,4,5,6,6,4,4,6,5,6,5,5,5,,,,4,8,4,7,7,9,5,5,8,,,,9,11,9,11,6,9,9,7,8,,,,8,11,9,9,10,4,9,9,11,2,56
2018-01-24 00:20:50,2018-01-24 00:30:07,0,2.55.134.210,100,557,1,2018-01-24 00:30:08,R_1giLmhVTdIIBzek,,,,,32.066604614258,34.764999389648,qr,HE,680,3,3,3,3,3,3,3,4,4,,,,,6,6,7,6,4,4,5,4,4,5,,,,8,8,8,5,5,4,7,6,6,,,,9,10,6,7,9,9,7,6,3,,,,10,10,11,1,53
2018-01-24 00:21:57,2018-01-24 00:31:18,0,37.26.147.141,100,560,1,2018-01-24 00:31:19,R_8GSgXlyTr731eDL,,,,,32.066604614258,34.764999389648,qr,HE,680,4,3,4,4,4,4,4,6,4,7,5,5,4,,,,,4,1,8,3,4,5,7,9,5,,,,7,7,5,6,4,8,9,10,5,,,,8,9,3,8,8,3,10,10,3,,,,2,39
